               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10263,            0.035636,            0.028741,             0.27735,             0.15061,             0.22467,            0.062108,            0.050938,            0.020784,            0.015478,             0.07075,             0.00325,             0.00325
                   1,            0.073815,            0.031125,            0.021657,             0.40031,             0.88215,             0.58744,             0.20323,             0.05627,            0.012925,            0.014041,            0.040685,           0.0065182,           0.0065182
                   2,            0.073566,            0.022892,            0.019019,             0.51608,             0.78435,             0.69009,             0.41755,            0.054588,           0.0084038,            0.012759,            0.010554,           0.0097203,           0.0097203
                   3,             0.06814,            0.020698,            0.017785,             0.56733,             0.84279,             0.86298,              0.3567,            0.042858,           0.0075434,             0.01188,            0.009703,            0.009703,            0.009703
                   4,            0.061933,            0.017766,            0.016275,             0.67841,             0.89858,             0.93905,             0.58869,            0.036861,           0.0078693,            0.011212,            0.009703,            0.009703,            0.009703
                   5,            0.059127,            0.017082,            0.014296,             0.40927,             0.85188,             0.70476,             0.34167,            0.040335,           0.0083864,             0.01124,            0.009604,            0.009604,            0.009604
                   6,            0.054571,            0.016155,            0.013481,             0.89026,             0.94069,             0.97981,             0.55055,            0.034968,           0.0063049,            0.010361,            0.009505,            0.009505,            0.009505
                   7,            0.052572,             0.01525,            0.012637,             0.76124,             0.90462,             0.90013,             0.60207,            0.031496,           0.0060596,            0.010232,            0.009406,            0.009406,            0.009406
                   8,            0.050579,            0.013878,            0.011437,             0.65051,             0.92147,             0.91564,             0.46336,            0.036416,           0.0057601,             0.01007,            0.009307,            0.009307,            0.009307
                   9,            0.048429,            0.014218,            0.011201,             0.76049,              0.9658,             0.85613,             0.54906,            0.030614,           0.0053647,           0.0096972,            0.009208,            0.009208,            0.009208
                  10,            0.045254,            0.013691,            0.010863,             0.82768,             0.93833,              0.8891,             0.65924,            0.028692,           0.0050733,           0.0095802,            0.009109,            0.009109,            0.009109
